input_id	dealiased_id	standard_id	short_id
wikidata:Q31044579	wikidata:Q31044579	wikidata:Q31044579	mnDxYfkY
wikidata:Q106498418	wikidata:Q106498418	wikidata:Q106498418	VqbZaZLZ
wikidata:Q24790499	wikidata:Q24790499	wikidata:Q24790499	pjT2o3iA
wikidata:Q87830400	wikidata:Q87830400	wikidata:Q87830400	3GqlN9Dk
wikidata:Q27921271	wikidata:Q27921271	wikidata:Q27921271	WjyGWYID
wikidata:Q61799268	wikidata:Q61799268	wikidata:Q61799268	F2mYjDJ0
wikidata:Q99233710	wikidata:Q99233710	wikidata:Q99233710	Nik5HsSb
wikidata:Q93150448	wikidata:Q93150448	wikidata:Q93150448	UMdjIZRO
wikidata:Q52622119	wikidata:Q52622119	wikidata:Q52622119	exsuYqRN
wikidata:Q59134700	wikidata:Q59134700	wikidata:Q59134700	RXhfyxZm
wikidata:Q66724305	wikidata:Q66724305	wikidata:Q66724305	wy6SIIc5
wikidata:Q91866899	wikidata:Q91866899	wikidata:Q91866899	EYKlkdUZ
wikidata:Q52584125	wikidata:Q52584125	wikidata:Q52584125	W9JKI5cA
wikidata:Q96836757	wikidata:Q96836757	wikidata:Q96836757	1CP2Qpuj8
